Type,Run,Event,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
GT,140124,1007912007,13.7061,4.88649,-2.5086,12.5569,5.492800604,1.564708153,-0.474289975,1,3.67389,-0.68325,0.529614,3.56917,0.864477618,2.125463655,2.482195496,1,4.52006
GT,140124,1007957044,9.09052,-2.16135,-2.96392,-8.31686,3.668276924,-1.557137011,-2.200865112,-1,3.80945,0.787428,-0.775826,-3.644,1.105417947,-1.9082558,-0.777976601,1,2.73378
GG,140124,1008000431,6.81754,5.76035,3.23987,-1.67015,6.608962834,-0.250094561,0.512346353,1,19.1486,12.8875,12.3887,-6.86217,17.87645222,-0.375014347,0.765666745,-1,3.07324
GT,140124,1008032300,31.8853,-5.85709,2.78331,-31.2188,6.48477585,-2.27532686,2.697978246,1,4.26886,-1.50179,-0.486974,-3.96478,1.578770687,-1.651422791,-2.828028051,1,3.13334
GT,140124,1008075983,13.5527,1.18694,-2.35966,-13.2924,2.641367426,-2.318771502,-1.104741107,1,4.36207,1.19082,0.142888,-4.19262,1.199362019,-1.964540836,0.119420317,1,2.15538
GT,140124,1008203315,7.98636,1.41051,1.49141,7.71732,2.052764538,2.034663481,0.813269039,-1,5.83304,-0.760092,1.22497,5.6511,1.44162802,2.0751108,2.12615203,1,2.11178
GT,140124,1008209356,8.4759,0.778887,1.81616,8.24164,1.976133119,2.13527716,1.165656763,1,4.36099,1.60931,0.0626995,4.05133,1.610530938,1.652981411,0.038940791,-1,2.10596
GT,140124,1008225333,10.3318,1.00769,2.58479,9.95179,2.774270802,1.989397073,1.199067226,1,6.43402,1.43627,0.0349896,6.27068,1.436696135,2.179558035,0.024356619,-1,2.25562
GT,140124,1008234146,7.6356,-1.32042,1.37354,7.39331,1.905287671,2.065293725,2.336478861,-1,3.63523,-1.23253,-0.805567,3.322,1.47243621,1.552642692,-2.562699143,1,2.31809
GT,140124,1008257850,9.08621,-1.92841,0.835437,8.83919,2.101599417,2.143485598,2.732775346,1,3.68113,0.273585,1.7503,3.22508,1.771552664,1.360344716,1.415743465,-1,2.83439
GT,140124,1008262278,7.55158,1.41924,0.266467,7.41148,1.444038379,2.338091856,0.185592641,-1,4.81347,-1.54717,-0.674974,4.50655,1.687994345,1.708499149,-2.730220423,1,3.26679
GT,140124,1008289349,12.9147,-4.65907,-0.545633,-12.0321,4.69091128,-1.671097899,-3.025011697,1,3.70193,-0.418434,1.00964,-3.53535,1.092913511,-1.890190665,1.963687654,-1,2.78709
GG,140124,1008315074,10.7599,-2.99026,-0.314427,10.3307,3.006745617,1.947943655,-3.03682725,-1,8.58578,-1.79347,-1.97114,8.16104,2.664944191,1.837986614,-2.309034687,1,2.04997
GT,140124,1008359945,10.1877,-0.931621,-3.02517,9.68287,3.165370629,1.83694072,-1.869536655,1,4.58675,-1.62879,-0.140587,4.2842,1.634846038,1.691095794,-3.055492282,-1,2.57425
GT,140124,1008421464,8.15766,0.58943,-2.16005,7.84366,2.239027407,1.966586849,-1.304404044,1,4.43274,1.91828,-1.699,3.61547,2.562498616,1.144310438,-0.724852121,1,2.45472
GT,140124,1008461960,5.54986,0.702483,2.7066,4.79277,2.796277155,1.307888229,1.316855023,1,5.68172,-0.891812,1.5977,5.378,1.829746959,1.799043788,2.079901797,-1,2.035
GT,140124,1008477500,10.5807,1.23298,3.47886,9.91551,3.690895092,1.714345242,1.230188685,-1,3.03217,-0.466316,-1.08312,2.79147,1.179236849,1.596742126,-1.977341864,1,4.18516
GT,140124,1008524496,17.6481,-4.51342,-1.31655,-17.01,4.701517202,-1.99763715,-2.857770809,-1,3.36175,0.842363,0.309338,-3.23805,0.897365824,-1.995080102,0.351938174,-1,4.11576
GT,140124,1008524805,9.1962,-3.56662,0.827198,8.43528,3.661288674,1.571836494,2.913694183,1,5.97017,-0.193144,-1.42278,5.79398,1.435829911,2.103234595,-1.705722672,1,3.61339
GT,140124,1008602059,5.71933,2.33776,0.918908,-5.13713,2.511874545,-1.463641455,0.374519733,1,3.73981,-0.52136,0.64587,-3.645,0.830038738,-2.185505455,2.249924997,-1,2.56937
GT,140124,1008641940,12.637,0.605848,4.4148,-11.8247,4.456176706,-1.702796883,1.434417053,1,4.23532,-1.10013,-0.212878,-4.08303,1.120536952,-2.004496959,-2.950452342,-1,3.7036
GT,140124,1008666475,21.0644,-3.05143,-2.86835,-20.6436,4.187917951,-2.298482386,-2.387111461,-1,8.53169,-0.419293,-2.18543,-8.23569,2.225288949,-2.019509295,-1.760351264,1,2.08016
GT,140124,1008667143,8.9901,2.28989,-0.67301,8.66685,2.386742272,2.001165232,-0.285855665,1,26.0104,2.75204,-3.61233,25.6107,4.541217038,2.430731621,-0.919756639,-1,2.51015
GT,140124,1008699102,6.13549,0.376432,-2.32089,-5.66611,2.35121914,-1.613223767,-1.410003586,-1,2.96216,0.753553,0.211548,-2.85494,0.782684279,-2.005505066,0.273689275,1,2.10543
GT,140124,1008798698,12.167,-1.71011,1.72926,11.921,2.432039547,2.292965086,2.350626668,1,8.37831,0.863779,1.88295,8.11746,2.071621313,2.074731533,1.140700436,-1,2.60879
GT,140124,1008810333,7.51087,-1.86996,0.595577,7.24917,1.962514297,2.017646375,2.833253522,1,3.41102,0.226233,1.58616,3.00945,1.602212506,1.387850419,1.429122498,-1,2.5664
GT,140124,1008846067,10.436,-4.21428,4.7229,-8.29652,6.329766214,-1.084967282,2.299345243,1,4.80522,-0.029752,1.09617,-4.67723,1.096573687,-2.157129476,1.59793144,1,3.4788
GT,140124,1008909421,14.8912,2.91855,1.79437,-14.4913,3.42603237,-2.148982282,0.551242141,-1,4.31454,-0.870107,0.384354,-4.20705,0.951217214,-2.192463821,2.725635735,-1,3.20743
GT,140124,1008934755,6.86509,-0.636578,1.637,6.63576,1.756416964,2.039416576,1.941670046,1,3.93432,0.97159,-0.487849,3.77965,1.087190772,1.959252361,-0.465337427,-1,2.5911
GT,140124,1008973968,7.6345,1.43762,1.1975,-7.40093,1.871031137,-2.083871514,0.69452614,1,4.79171,-0.614285,-1.07986,-4.62665,1.242354088,-2.025529374,-2.088001081,-1,3.0094
GT,140124,1009011455,15.5747,0.488471,3.33486,15.2053,3.370444353,2.21180986,1.425356351,-1,3.7321,1.30564,0.844617,3.39106,1.555015655,1.521654954,0.574192052,-1,2.49839
GT,140124,1009013462,6.84154,-2.76227,-0.580482,6.23124,2.822604277,1.532809499,-2.934459934,1,3.76502,0.994225,0.0576768,3.62938,0.995896563,2.00463423,0.057946872,1,3.44498
GG,140124,1009038302,8.62919,-2.43313,-0.120776,8.2775,2.436125703,1.937262046,-3.091995241,-1,24.0843,-4.40663,4.08089,23.3232,6.006001261,2.066016974,2.394554366,-1,3.01746
